,Valence_electron_concentration_ref_Avg,name,Alloy_Ni,Alloy_Cr,Alloy_Co,Alloy_Al,Alloy_Fe,phase_name,phase_fraction,Ni,Cr,Co,Al,Fe,invT,Smix_HEA,DeltaSize_HEA,Electroneg_HEA,Hmix_HEA,Omega_HEA,Al+Cr,Cr/Al,UMAP_1,UMAP_2
88,7.476000000000001,59,46,18,18,12,6,BCC_B2#2,0.022,45.8,7.6,13.7,28.5,4.399999999999999,0.7027406886858749,10.982896359379495,0.064286009,0.13502504619514108,-17.21214,0.9859456114492962,36.1,0.26666666666666666,15.014073,4.6678476
89,8.34,60,48,16,20,10,6,FCC_L12#1,1,48,16,20,10,6,0.7027406886858749,11.360823041771859,0.0438183,0.11417250106746367,-9.6272,2.0462300635558175,26,1.6,17.84264,6.6561203
90,8.192,61,46,16,18,12,8,FCC_L12#1,0.98,46,16.2,18.1,11.7,8,0.7027406886858749,11.760452667387346,0.046881641937062506,0.11698673044409776,-10.475484,1.9335387921641876,27.9,1.3846153846153846,16.97466,6.916074
91,7.494000000000001,61,46,16,18,12,8,BCC_B2#2,0.02,45.2,6.7,13.9,28.3,5.899999999999999,0.7027406886858749,11.128525701825895,0.064220348,0.13394442280289232,-16.998248,1.0108344606814235,35,0.23674911660777384,14.798001,4.5189843
92,7.523999999999999,62,46,14,20,12,8,BCC_B2#2,0.003,44.7,6,15.2,28.2,6,0.7027406886858749,11.14782990824647,0.064100722,0.133392752,-16.934016,1.0164036072833624,34.2,0.2127659574468085,14.167644,4.234621
93,8.24,62,46,14,20,12,8,FCC_L12#1,0.997,46,14,20,12,8,0.7027406886858749,11.72969501,0.047367193,0.11526682089829662,-10.4304,1.9238084827094517,26,1.1666666666666667,16.804535,6.185169
94,7.466,63,44,18,20,12,6,BCC_B2#2,0.04,44.3,7.8,15.1,28.3,4.5,0.7027406886858749,11.156640096991516,0.064132305,0.13455816251718059,-17.08014,1.0113316043613518,36.1,0.27561837455830385,14.394079,4.4484825
95,8.149000000000001,63,44,18,20,12,6,FCC_L12#1,0.96,44,18.4,20.2,11.3,6.1,0.7027406886858749,11.746002702002349,0.046119937,0.11828057490560312,-10.41558,1.9562377131485864,29.7,1.6283185840707963,16.676592,6.913969
96,8.200000000000001,64,44,18,18,10,10,FCC_L12#1,1,44,18,18,10,10,0.7027406886858749,11.964476996206526,0.043898615,0.11505407424337476,-9.632,2.168241351147781,28,1.8,16.357992,7.3197813
97,7.460999999999999,65,44,18,18,12,8,BCC_B2#2,0.053,44.3,7.5,14,28.3,5.899999999999999,0.7027406886858749,11.260698944156855,0.064205115,0.13412343233007415,-16.985396,1.0260378450197485,35.8,0.26501766784452296,14.27747,4.57188
98,8.135,65,44,18,18,12,8,FCC_L12#1,0.947,44,18.6,18.2,11.1,8.1,0.7027406886858749,11.903553428272723,0.045840986,0.11781753859252023,-10.29222,2.010116822742857,29.700000000000003,1.6756756756756759,16.450993,7.190788
99,7.528,66,46,10,20,20,4,BCC_B2#2,0.471,45.3,6.1,16.7,28.3,3.5,0.7027406886858749,10.831325094073843,0.064145466,0.13413804487579198,-17.095164,0.9748956054290097,34.4,0.215547703,15.017789,4.267495
100,8.261000000000001,66,46,10,20,20,4,FCC_L12#1,0.529,46.6,13.5,22.9,12.6,4.399999999999999,0.7027406886858749,11.324952308543672,0.048213526,0.11640891890229026,-10.768464,1.7898003504507587,26.1,1.0714285714285714,17.125992,5.440755
101,7.465,67,44,14,18,18,6,BCC_B2#2,0.396,44.1,7.6,15,28.3,5,0.7027406886858749,11.21136946036512,0.064152206,0.13431768312474715,-17.034232,1.0186835167377026,35.9,0.2685512367491166,14.27747,4.57188
102,8.148,67,44,14,18,18,6,FCC_L12#1,0.604,43.9,18.2,19.9,11.3,6.7,0.7027406886858749,11.807991177846908,0.04613747,0.11798714802892725,-10.384236,1.9718993753006313,29.5,1.6106194690265485,16.676592,6.913969
103,7.502000000000002,68,44,12,20,18,6,BCC_B2#2,0.384,43.7,6.600000000000001,16.5,28.1,5.1,0.7027406886858749,11.198338500633188,0.064013464,0.13351880429362742,-16.909516,1.0235155565922687,34.7,0.2348754448398577,14.167644,4.234621
104,8.215,68,44,12,20,18,6,FCC_L12#1,0.616,44.2,15.3,22.2,11.7,6.600000000000001,0.7027406886858749,11.74480009332134,0.046801196584558155,0.11593237640969839,-10.350024,1.9502981619488953,27,1.307692307692308,16.58831,6.0956407
105,7.5249999999999995,69,46,10,18,18,8,BCC_B2#2,0.366,44.8,5.4,15,28.1,6.600000000000001,0.7027406886858749,11.124172305405727,0.064169664,0.1328179341802152,-16.801904,1.0189405539785223,33.5,0.19217081850533807,14.167644,4.234621
106,8.272,69,46,10,18,18,8,FCC_L12#1,0.634,46.7,12.7,19.7,12.1,8.799999999999999,0.7027406886858749,11.698798385523999,0.047561847,0.11404823540940907,-10.371192,1.9227840079128353,24.799999999999997,1.0495867768595042,16.529575,5.8403115
107,7.525,70,48,12,16,16,8,BCC_B2#2,0.231,46.5,5.800000000000001,13.1,28.4,6.2,0.7027406886858749,10.952533749718793,0.064322602,0.13382044649454725,-17.036656,0.989434045,34.2,0.2042253521126761,14.798001,4.5189843
108,8.244,70,48,12,16,16,8,FCC_L12#1,0.769,48.4,13.9,16.9,12.3,8.5,0.7027406886858749,11.583541957849873,0.047909806,0.11609483020358827,-10.655952,1.8556445255124874,26.200000000000003,1.1300813008130082,17.452223,6.4806314
109,7.577999999999999,71,48,8,20,16,8,BCC_B2#2,0.197,45.5,4,15.8,28.2,6.5,0.7027406886858749,10.918125990567642,0.064171508,0.1323238013359652,-16.834056,0.9948122316503554,32.2,0.14184397163120568,14.728106,4.153224
110,8.351999999999999,71,48,8,20,16,8,FCC_L12#1,0.803,48.6,9,21,13,8.4,0.7027406886858749,11.376996875338074,0.048984028,0.11179610726675589,-10.537632,1.8147839734775848,22,0.6923076923076923,17.033157,4.815422
111,8.244000000000002,72,46,12,18,16,8,FCC_L12#1,0.751,46.40000000000001,14,19.1,11.9,8.6,0.7027406886858749,11.739743124927003,0.047228901,0.11507277653728527,-10.382924,1.9353152149010169,25.9,1.1764705882352942,16.804535,6.185169
112,7.508000000000001,72,46,12,18,16,8,BCC_B2#2,0.249,44.9,5.899999999999999,14.6,28.2,6.3,0.7027406886858749,11.128934909503768,0.064223288,0.13327634875550867,-16.876208,1.0155851826712814,34.099999999999994,0.2092198581560283,14.798001,4.5189843
113,8.228000000000002,73,46,12,16,16,10,FCC_L12#1,0.74,46.40000000000001,14.2,16.9,11.7,10.8,0.7027406886858749,11.85014372641415,0.046970599,0.11463037948118286,-10.264716,1.9799820935875934,25.9,1.2136752136752136,16.563728,6.5247016
114,7.505999999999999,73,46,12,16,16,10,BCC_B2#2,0.26,44.9,5.800000000000001,13.4,28.2,7.7,0.7027406886858749,11.21055572,0.064238711,0.13295217786858546,-16.813176,1.0281745506751456,34,0.20567375886524825,13.895245,4.571034
115,8.184000000000001,74,46,14,20,18,2,FCC_L12#1,0.645,46,17.4,22.2,12.2,2.2,0.7027406886858749,11.109396196143193,0.047511273,0.11983242299144248,-10.939136,1.7473326471009791,29.599999999999998,1.4262295081967213,17.37702,6.559816
116,7.505000000000002,74,46,14,20,18,2,BCC_B2#2,0.355,46,7.9,16,28.5,1.7,0.7027406886858749,10.624964553866958,0.064104142,0.13580776947582926,-17.414752,0.9437922857585502,36.4,0.2771929824561404,15.128368,4.4792466
117,8.148,75,44,16,20,16,4,FCC_L12#1,0.731,43.9,18.9,21.5,11.5,4.3,0.7027406886858749,11.56304161423773,0.046368948,0.11935246110952212,-10.602612,1.893349454,30.4,1.643478260869565,16.773376,6.538602
118,7.4670000000000005,75,44,16,20,16,4,BCC_B2#2,0.269,44.4,8.200000000000001,15.8,28.3,3.3,0.7027406886858749,11.032029160531915,0.064073774,0.13501507915784808,-17.170412,0.9954798301179786,36.5,0.28975265017667845,14.394079,4.4484825
119,7.542,76,48,12,20,16,4,BCC_B2#2,0.202,46.7,6.1,15.5,28.5,3.2,0.7027406886858749,10.667380390766331,0.064228892,0.13472727415041091,-17.262456,0.9504699116302836,34.6,0.21403508771929824,15.017789,4.267495
120,8.259,76,48,12,20,16,4,FCC_L12#1,0.798,48.3,13.5,21.1,12.8,4.2,0.7027406886858749,11.193997210683522,0.04860276,0.11711126520322454,-10.92278,1.739802535833838,26.3,1.0546875,17.78495,5.7808995
121,7.511,77,46,14,20,14,6,BCC_B2#2,0.12,45.1,6.5,15.4,28.3,4.7,0.7027406886858749,11.023027326943604,0.06415078,0.13407117177081723,-17.056708,0.9969799387204197,34.8,0.22968197879858657,15.017789,4.267495
122,8.223,77,46,14,20,14,6,FCC_L12#1,0.88,46.1,15,20.6,12.1,6.2,0.7027406886858749,11.597597741717784,0.047476251995116424,0.11675785369729949,-10.606736,1.8732222110323755,27.1,1.2396694214876034,17.133553,6.5066037
123,8.243,78,48,14,20,14,4,FCC_L12#1,0.914,48.1,14.7,20.5,12.6,4.100000000000001,0.7027406886858749,11.229923585041426,0.048234418,0.11799050639776062,-10.942044,1.7509534671444873,27.299999999999997,1.1666666666666667,17.836246,6.554882
124,7.528999999999999,78,48,14,20,14,4,BCC_B2#2,0.086,46.8,6.600000000000001,15,28.5,3.1,0.7027406886858749,10.68138314667344,0.064231134,0.13502503323458204,-17.293692,0.9512196523992524,35.1,0.2315789473684211,15.017789,4.267495
125,7.503,79,48,16,18,16,2,BCC_B2#2,0.224,47.8,8.1,13.9,28.6,1.6,0.7027406886858749,10.432939405472707,0.064251012,0.13637356782016075,-17.519104,0.9197013408425334,36.7,0.2832167832167832,15.745686,4.7728815
126,8.176,79,48,16,18,16,2,FCC_L12#1,0.776,48.1,18.3,19.2,12.4,2.1,0.7027406886858749,10.971536134098447,0.047833843363594405,0.12143238740303178,-11.219464,1.6853917796819782,30.700000000000003,1.4758064516129032,17.856316,6.898554
127,7.510999999999999,80,46,14,18,16,6,BCC_B2#2,0.252,45.5,7.000000000000001,14.5,28.4,4.8,0.7027406886858749,11.03839863,0.064162232,0.13458688000618776,-17.166248,0.9949861011672537,35.4,0.24647887323943665,15.014073,4.6678476
128,8.198,80,46,14,18,16,6,FCC_L12#1,0.748,46.2,16.4,19.2,11.8,6.4,0.7027406886858749,11.62461643177923,0.046998557517062056,0.11762058323269779,-10.578624,1.8917162821252893,28.2,1.3898305084745761,17.133553,6.5066037
129,8.128000000000002,81,46,16,14,16,8,FCC_L12#1,0.727,46,19.2,14.9,11.3,8.7,0.7027406886858749,11.777137739159105,0.046208382,0.11900595286119091,-10.523772,1.9472814028619925,30.5,1.6991150442477874,17.15873,8.175116
130,7.455,81,46,16,14,16,8,BCC_B2#2,0.273,46,7.6,11.7,28.6,6.1,0.7027406886858749,11.080101438258962,0.064444216,0.13480995475112356,-17.15018,0.9981466822529546,36.2,0.26573426573426573,14.894486,4.938461
131,8.214,82,46,14,18,14,8,FCC_L12#1,0.866,46.1,15.2,18.6,11.8,8.3,0.7027406886858749,11.763773784806475,0.047054853,0.11613705524078001,-10.436136,1.9358923494872515,27,1.2881355932203389,16.97466,6.916074
132,7.4990000000000006,82,46,14,18,14,8,BCC_B2#2,0.134,45,6.4,14.2,28.3,6.1,0.7027406886858749,11.143030798464846,0.064222962,0.133713868,-16.96666,1.0133336577901935,34.7,0.22614840989399293,14.798001,4.5189843
133,8.183000000000002,83,48,16,16,14,6,FCC_L12#1,0.882,48.1,17.2,16.5,12,6.2,0.7027406886858749,11.464438385337543,0.047356623,0.11912309557764182,-10.829848,1.823198139659536,29.2,1.4333333333333333,17.796839,7.561082
134,7.504000000000002,83,48,16,16,14,6,BCC_B2#2,0.118,47.2,7.199999999999999,12.6,28.6,4.5,0.7027406886858749,10.827854315002083,0.064341212,0.13526269120825588,-17.310256,0.965747458,35.8,0.2517482517482517,15.65363,4.9890943
135,8.238,84,50,14,16,14,6,FCC_L12#1,0.917,50.2,14.7,16.3,12.7,6.1,0.7027406886858749,11.27518141890002,0.04849626,0.11829647332021352,-11.04148,1.741346013116206,27.4,1.1574803149606299,18.037228,6.7449145
136,7.524000000000001,84,50,14,16,14,6,BCC_B2#2,0.083,48.2,6.3,12.4,28.6,4.399999999999999,0.7027406886858749,10.64381606628205,0.06445475,0.13500677579292078,-17.278472,0.9463437085134998,34.9,0.22027972027972026,15.202366,4.590726
137,8.191,85,48,14,14,16,8,FCC_L12#1,0.756,48.3,16.4,14.8,11.9,8.6,0.7027406886858749,11.598463670125804,0.047271819831809864,0.1178816338536245,-10.673344,1.8699183498355654,28.299999999999997,1.3781512605042014,17.451822,7.118775
138,7.495999999999999,85,48,14,14,16,8,BCC_B2#2,0.244,47.09999999999999,6.600000000000001,11.6,28.6,6.1,0.7027406886858749,10.912178857670249,0.064462682,0.13458887175394546,-17.165328,0.9792531096644854,35.2,0.2307692307692308,15.382044,4.773383
139,7.493,86,48,14,16,18,4,BCC_B2#2,0.353,47.5,7.5,13.1,28.6,3.2,0.7027406886858749,10.660986721908946,0.064383173,0.13568790954797696,-17.365572,0.9460064609425671,36.1,0.26223776223776224,15.65363,4.9890943
140,8.181999999999999,86,48,14,16,18,4,FCC_L12#1,0.647,48.3,17.5,17.6,12.2,4.399999999999999,0.7027406886858749,11.276856815779423,0.047625654,0.12004073267020653,-10.998844,1.764492129050009,29.7,1.4344262295081969,17.887558,7.2828517
141,7.524000000000001,87,48,16,20,14,2,BCC_B2#2,0.088,47.5,7.6,14.8,28.6,1.6,0.7027406886858749,10.445628742321867,0.06419514,0.13611162269292063,-17.508416,0.9212795388906341,36.2,0.26573426573426573,15.745686,4.7728815
142,8.201,87,48,16,20,14,2,FCC_L12#1,0.912,48.1,16.8,20.5,12.6,2,0.7027406886858749,10.939843560493498,0.048172405,0.12036402078694443,-11.174472,1.6778319877200043,29.4,1.3333333333333335,17.856316,6.898554
143,7.515000000000001,88,48,16,20,16,0,BCC_B2#2,0.208,48,8.3,15.1,28.6,0,0.7027406886858749,9.996348420606754,0.064170615,0.13683798303102826,-17.628344,0.8757852794999093,36.900000000000006,0.2902097902097902,15.753173,4.6007385
144,8.177999999999999,88,48,16,20,16,0,FCC_L12#1,0.792,48,18,21.3,12.7,0,0.7027406886858749,10.41277555692817,0.048263107693987395,0.12191488793416491,-11.367396,1.5729054925264319,30.7,1.4173228346456694,17.84827,6.6716185
145,7.461,89,46,18,18,16,2,BCC_B2#2,0.256,46.6,9.1,14.1,28.6,1.6,0.7027406886858749,10.594749160770707,0.06422976,0.13655444481963955,-17.502608,0.9376301978466586,37.7,0.3181818181818182,15.280976,5.004057
146,8.102,89,46,18,18,16,2,FCC_L12#1,0.744,45.8,21.1,19.3,11.7,2.1,0.7027406886858749,11.104166747698018,0.046705011965156626,0.1222280556991724,-10.995624,1.7571841901430685,32.8,1.8034188034188037,17.491148,7.3233595
147,8.058,90,46,20,18,16,0,FCC_L12#1,0.742,45.6,23.4,19.4,11.6,0,0.7027406886858749,10.525295130738508,0.046475019,0.12415645613499118,-11.16496,1.6492630632433516,35,2.0172413793103448,17.467554,7.714352
148,7.444000000000001,90,46,20,18,16,0,BCC_B2#2,0.258,47.2,10.2,13.9,28.7,0,0.7027406886858749,10.141007304856267,0.064228815,0.13757691339756092,-17.69854,0.8891255394564234,38.9,0.35540069686411146,15.837455,5.062141
149,8.151,91,48,18,18,14,2,FCC_L12#1,0.892,48,19.2,18.5,12.2,2.1,0.7027406886858749,10.967059517142562,0.047550534,0.12185298970480778,-11.179396,1.6943221340607786,31.4,1.5737704918032787,18.006798,7.6885595
